Keypoints:
ultralytics.engine.results.Keypoints object with attributes:

conf: array([[    0.98894,     0.95839,     0.96809,     0.79161,     0.83063,      0.9964,     0.99779,     0.97961,     0.98933,     0.96343,     0.97759,      0.9987,     0.99899,      0.9952,     0.99651,     0.96803,      0.9747]], dtype=float32)
data: array([[[     579.82,      101.03,     0.98894],
        [     595.49,      86.503,     0.95839],
        [     565.07,       86.83,     0.96809],
        [     619.82,      90.675,     0.79161],
        [     545.38,      91.573,     0.83063],
        [     646.17,      178.32,      0.9964],
        [     518.71,      180.52,     0.99779],
        [     668.86,      294.57,     0.97961],
        [     491.32,      296.45,     0.98933],
        [     676.89,       389.5,     0.96343],
        [     489.44,      392.43,     0.97759],
        [     623.53,      380.65,      0.9987],
        [     542.54,      381.99,     0.99899],
        [     629.29,      517.99,      0.9952],
        [     540.77,      515.49,     0.99651],
        [     630.51,      641.79,     0.96803],
        [     551.13,      640.81,      0.9747]]], dtype=float32)
has_visible: True
orig_shape: (720, 1280)
shape: (1, 17, 3)
xy: array([[[     579.82,      101.03],
        [     595.49,      86.503],
        [     565.07,       86.83],
        [     619.82,      90.675],
        [     545.38,      91.573],
        [     646.17,      178.32],
        [     518.71,      180.52],
        [     668.86,      294.57],
        [     491.32,      296.45],
        [     676.89,       389.5],
        [     489.44,      392.43],
        [     623.53,      380.65],
        [     542.54,      381.99],
        [     629.29,      517.99],
        [     540.77,      515.49],
        [     630.51,      641.79],
        [     551.13,      640.81]]], dtype=float32)
xyn: array([[[    0.45298,     0.14032],
        [    0.46522,     0.12014],
        [    0.44146,      0.1206],
        [    0.48424,     0.12594],
        [    0.42608,     0.12718],
        [    0.50482,     0.24767],
        [    0.40524,     0.25072],
        [    0.52254,     0.40913],
        [    0.38384,     0.41174],
        [    0.52882,     0.54098],
        [    0.38237,     0.54505],
        [    0.48713,     0.52868],
        [    0.42386,     0.53054],
        [    0.49163,     0.71943],
        [    0.42248,     0.71596],
        [    0.49259,     0.89138],
        [    0.43057,     0.89001]]], dtype=float32)
